smiles,valid,novel,pred_logD_A,pred_logD_B,pred_sep,uncertainty,round,ucb,lcb,scaffold
CCCCCCCCN(CCCCCCCC)C(=S)c1nnc(C(=S)N(CCCCCCCC)CCCCCCCC)c2ccccc12,True,True,0.407,-0.257,0.664,0.1,2,0.764,0.5640000000000001,c1ccc2cnncc2c1
CCCCC(CC)COP(=S)(S)C1CCCCC1,True,True,1.237,0.573,0.663,0.221,2,0.884,0.44200000000000006,C1CCCCC1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)c1cccc(-c2ccnn2C)n1,True,True,0.808,0.151,0.656,0.187,1,0.843,0.46900000000000003,c1ccc(-c2ccn[nH]2)nc1
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(-c2ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc2)nc1,True,True,0.293,-0.353,0.645,0.113,1,0.758,0.532,c1ccc(-c2cccnc2)nc1
CCCCCCn1nc(-c2cccc(-c3nnc(-c4ccccn4)n3CCCCCC)n2)nc1-c1ccccn1,True,True,1.029,0.387,0.642,0.157,1,0.799,0.485,c1ccc(-c2nc(-c3cccc(-c4nnc(-c5ccccn5)[nH]4)n3)n[nH]2)nc1
CC(C)(C)c1nnc(-c2ccc(-c3ccc(-c4nnc(C(C)(C)C)s4)nc3)nc2)s1,True,True,0.81,0.183,0.627,0.149,1,0.776,0.478,c1nnc(-c2ccc(-c3ccc(-c4nncs4)nc3)nc2)s1
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2cccc(C(=S)N(CCCCCCCC)CCCCCCCC)c2n1,True,True,0.371,-0.254,0.625,0.163,2,0.788,0.46199999999999997,c1ccc2ncccc2c1
CCCCCCCCc1ccc(P(=S)(S)c2ccc(CCCCCCCC)cc2)cc1,True,True,0.816,0.191,0.624,0.32,1,0.944,0.304,S=[PH](c1ccccc1)c1ccccc1
CCCCCCCCn1nc(-c2ccccn2)c2cc(-c3cccnc3)nnc21,True,True,0.442,-0.176,0.618,0.211,2,0.829,0.40700000000000003,c1ccc(-c2n[nH]c3nnc(-c4cccnc4)cc23)nc1
CCCCCCCCCCCCc1ccc2nc3ccc(-c4nc5ccc(CCCCCCCCCCCC)cc5[nH]4)cc3nc2c1,True,True,0.624,0.007,0.617,0.219,1,0.836,0.398,c1ccc2nc3cc(-c4nc5ccccc5[nH]4)ccc3nc2c1
CCCCCCN(CCCCCC)C(=S)SCc1ccccc1CSC(=S)N(CCCCCC)CCCCCC,True,True,0.569,-0.038,0.607,0.205,1,0.8119999999999999,0.402,c1ccccc1
CCCCCCCCN(CCCCCCCC)C(=S)CSCC(=S)N(CCCCCCCC)CCCCCCCC,True,True,0.6,-0.005,0.606,0.201,1,0.8069999999999999,0.40499999999999997,
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(-c2nnc(-c3cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n3)s2)n1,True,True,0.671,0.073,0.598,0.102,2,0.7,0.496,c1ccc(-c2nnc(-c3ccccn3)s2)nc1
CCCCCCCCOc1ccc(-c2nnc(-c3cccc(-c4nnc(-c5ccc(OCCCCCCCC)cc5)c(-c5ccccc5)n4)n3)nc2-c2ccccc2)cc1,True,True,0.761,0.166,0.595,0.224,1,0.819,0.371,c1ccc(-c2nnc(-c3cccc(-c4nnc(-c5ccccc5)c(-c5ccccc5)n4)n3)nc2-c2ccccc2)cc1
CCC(C)CCn1c(-c2cccc(-c3cccc(-c4nc5ccccc5n4CCC(CC)CC)n3)n2)nc2ccccc21,True,True,0.96,0.367,0.592,0.257,1,0.849,0.33499999999999996,c1cc(-c2cccc(-c3nc4ccccc4[nH]3)n2)nc(-c2nc3ccccc3[nH]2)c1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(-c2cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n2)n1,True,True,0.411,-0.17,0.58,0.125,3,0.705,0.45499999999999996,c1ccc(-c2ccccn2)nc1
CCCCCCCCN(C(=S)CC(=S)N(CCCCCCCC)c1ccccc1)c1ccccc1,True,True,0.254,-0.312,0.566,0.099,1,0.6649999999999999,0.46699999999999997,S=C(CC(=S)Nc1ccccc1)Nc1ccccc1
CCCCCCn1c(-c2cccc(-c3nc4ccccc4n3CCCCCC)n2)nc2ccccc21,True,True,0.936,0.371,0.565,0.184,1,0.7489999999999999,0.38099999999999995,c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1
CCCCCCCCP(=S)(S)OCC(CC)CCCC,True,True,0.952,0.401,0.551,0.098,2,0.649,0.45300000000000007,
