rank,SMILES,Metal,Acid_conc_M,Temperature_K,Pred_LogD,lo90,hi90,UCB_logD,confidence_pred_err,predicted_zone
121,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,U(VI),4.0,296.15,1.6161,-0.9585,4.1908,4.1908,0.947,high (D>10)
122,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,Am(III),1.0,298.15,1.7779,-0.6001,4.156,4.156,0.8747,high (D>10)
123,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,Am(III),1.0,298.15,1.7779,-0.6001,4.156,4.156,0.8747,high (D>10)
124,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCCC4)nc3c2n1)N1CCCCC1,Nd(III),0.012269939,298.15,-0.0868,-4.3256,4.152,4.152,1.5592,medium (0.5<=D<=10)
125,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,Th(IV),6.0,298.15,0.6441,-2.8597,4.1479,4.1479,1.2888,medium (0.5<=D<=10)
126,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,Nd(III),3.0,298.15,0.3411,-3.4375,4.1197,4.1197,1.3899,medium (0.5<=D<=10)
127,CCCCCCP(=O)(CCCCCC)CC(=O)N(CC)CC,Am(III),1.0,298.15,0.0879,-3.9206,4.0964,4.0964,1.4745,medium (0.5<=D<=10)
128,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Nd(III),3.0,298.15,1.6399,-0.8104,4.0902,4.0902,0.9013,high (D>10)
129,CCCCNC(=O)C(CC)C(=O)NCc1cccc(CNC(=O)C(CC)C(=O)NCCCC)c1,Am(III),0.056234133,298.15,1.2762,-1.5231,4.0756,4.0756,1.0297,high (D>10)
130,CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,Np(V),1.0,298.15,1.2068,-1.6543,4.0679,4.0679,1.0524,high (D>10)
131,CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,Eu(III),3.0,298.15,1.1374,-1.7825,4.0574,4.0574,1.0741,high (D>10)
132,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,Er(III),3.0,298.15,1.8926,-0.2602,4.0454,4.0454,0.7919,high (D>10)
133,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,Nd(III),3.0,298.15,0.7578,-2.5255,4.0412,4.0412,1.2077,medium (0.5<=D<=10)
134,CCCCN(CCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCC)CCCC,Th(IV),5.0,298.15,0.8356,-2.3675,4.0387,4.0387,1.1782,medium (0.5<=D<=10)
135,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,Pu(IV),1.0,298.15,0.2415,-3.5324,4.0153,4.0153,1.3882,medium (0.5<=D<=10)
136,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,Sm(III),3.0,298.15,0.9798,-2.033,3.9925,3.9925,1.1082,medium (0.5<=D<=10)
137,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,Eu(III),2.0,298.15,0.5118,-2.9635,3.9871,3.9871,1.2783,medium (0.5<=D<=10)
138,CCCCCCOP(=O)(OCCCCCC)C(=O)N(CC)CC,Ce(III),2.0,298.15,-0.0639,-4.1012,3.9733,3.9733,1.485,medium (0.5<=D<=10)
139,CCCCNC(=O)C(CCCCCC(C(=O)NCCCC)C(=O)NCCCC)C(=O)NCCCC,Am(III),0.028183829,298.15,0.9757,-2.006,3.9574,3.9574,1.0968,medium (0.5<=D<=10)
140,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,La(III),0.07,293.15,0.5762,-2.8039,3.9562,3.9562,1.2433,medium (0.5<=D<=10)
141,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,Eu(III),5.0,298.15,1.0504,-1.8298,3.9305,3.9305,1.0594,high (D>10)
142,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,Dy(III),0.5,298.15,1.4248,-1.0713,3.9209,3.9209,0.9182,high (D>10)
143,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,Th(IV),6.644538813,298.15,0.8474,-2.2219,3.9167,3.9167,1.129,medium (0.5<=D<=10)
144,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,Sm(III),5.0,298.15,0.8408,-2.2301,3.9116,3.9116,1.1296,medium (0.5<=D<=10)
145,CCCCCCCCOP(=O)(OCCCCCCCC)C(=O)N(CC)CC,Ce(III),5.0,298.15,0.9889,-1.9252,3.903,3.903,1.0719,medium (0.5<=D<=10)
146,CCCCNC(=O)C(Cc1cccc(CC(C(=O)NCCCC)C(=O)NCCCC)c1)C(=O)NCCCC,Eu(III),0.01,295.15,-1.3214,-6.5329,3.89,3.89,1.917,low (D<0.5)
147,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Sm(III),3.999413146,295.15,1.0521,-1.7788,3.883,3.883,1.0413,high (D>10)
148,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,Dy(III),3.0,298.15,1.3939,-1.0593,3.8472,3.8472,0.9024,high (D>10)
149,CCCCC(CC)COP(=O)(O)CC(CC)CCCC,Dy(III),3.0,298.15,1.3939,-1.0593,3.8472,3.8472,0.9024,high (D>10)
150,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Er(III),3.0,298.15,2.1603,0.4921,3.8285,3.8285,0.6136,high (D>10)
151,CCCCCCCCOc1cc2c(OCC(=O)N(CC)CC)c(c1)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),2.0,295.15,-1.0598,-5.9203,3.8006,3.8006,1.7879,low (D<0.5)
152,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,Sm(III),3.001760563,295.15,1.9822,0.1693,3.795,3.795,0.6668,high (D>10)
153,CCCCCCCCP(=O)(CC(=O)N(CCCC)CCCC)c1ccccc1,La(III),3.0,295.15,0.6929,-2.3963,3.7821,3.7821,1.1363,medium (0.5<=D<=10)
154,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,Eu(III),1.0,308.15,1.5284,-0.7146,3.7714,3.7714,0.8251,high (D>10)
155,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,Nd(III),3.0,298.15,1.4234,-0.9213,3.768,3.768,0.8624,high (D>10)
156,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,Np(IV),3.0,298.15,1.2383,-1.2803,3.757,3.757,0.9265,high (D>10)
157,CCCCNC(=O)CC(=O)Nc1ccccc1NC(=O)CC(=O)NCCCC,Am(III),0.107151931,298.15,1.034,-1.6858,3.7537,3.7537,1.0004,high (D>10)
158,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,La(III),5.1,298.15,0.3884,-2.9677,3.7446,3.7446,1.2345,medium (0.5<=D<=10)
159,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,Pr(III),1.0,298.15,-0.0496,-3.8348,3.7356,3.7356,1.3923,medium (0.5<=D<=10)
160,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,Ce(III),3.0,298.15,2.0245,0.3203,3.7288,3.7288,0.6269,high (D>10)
161,CCCCCCCCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)c4cc(C)cc(C)c4)nc3c2n1)c1cc(C)cc(C)c1,Yb(III),3.0,295.15,-0.329,-4.3363,3.6782,3.6782,1.474,low (D<0.5)
162,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,Am(III),3.0,298.15,2.2224,0.8257,3.6192,3.6192,0.5138,high (D>10)
163,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,Nd(III),3.0,298.15,0.2084,-3.1885,3.6053,3.6053,1.2495,medium (0.5<=D<=10)
164,CCCCCCOP(=O)(O)OCCCCCC,Tb(III),7.4,295.15,0.2811,-3.0195,3.5816,3.5816,1.2141,medium (0.5<=D<=10)
165,CCCCNC(=O)C(CCCCCCC(C(=O)NCCCC)C(=O)NCCCC)C(=O)NCCCC,Eu(III),0.01,295.15,-1.0972,-5.7161,3.5218,3.5218,1.699,low (D<0.5)
166,CCc1nnc(-c2cccc(-c3cccc(-c4nnc(CC)c(CC)n4)n3)n2)nc1CC,Eu(III),3.0,298.15,1.0844,-1.3327,3.5015,3.5015,0.8891,high (D>10)
167,S=P(S)(c1ccccc1Cl)c1ccccc1Cl,Eu(III),0.1,298.15,0.223,-3.0344,3.4804,3.4804,1.1982,medium (0.5<=D<=10)
168,CCCCOP(=O)(CCCC)OCCCC,U(VI),1.0,298.15,0.1041,-3.2644,3.4725,3.4725,1.239,medium (0.5<=D<=10)
169,CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,Eu(III),2.0,295.15,-0.3832,-4.2172,3.4507,3.4507,1.4103,low (D<0.5)
170,CC(C)CN(CC(C)C)C(=O)CP(=O)(C1CCCCC1)C1CCCCC1,Sm(III),0.5,298.15,0.2652,-2.909,3.4394,3.4394,1.1676,medium (0.5<=D<=10)
171,O=C(c1ccccc1)c1ccc2ccccc2n1,Am(III),1.0,298.15,2.1182,0.7982,3.4382,3.4382,0.4855,high (D>10)
172,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,Sm(III),2.0,298.15,-0.0213,-3.4767,3.434,3.434,1.271,medium (0.5<=D<=10)
173,CCCCNC(=O)CC(=O)NCc1cccc(CNC(=O)CC(=O)NCCCC)c1,Am(III),0.03801894,298.15,0.8424,-1.7291,3.4139,3.4139,0.9459,medium (0.5<=D<=10)
174,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,Am(III),3.0,298.15,1.9021,0.4093,3.3948,3.3948,0.5491,high (D>10)
175,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,Am(III),6.0,298.15,1.3425,-0.6719,3.357,3.357,0.741,high (D>10)
176,CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,La(III),2.55,298.15,0.2915,-2.7711,3.3541,3.3541,1.1265,medium (0.5<=D<=10)
177,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,Am(III),1.0,298.15,1.5899,-0.1666,3.3464,3.3464,0.6461,high (D>10)
178,CCCCCCCCNC(=O)c1cc(Cl)ccn1,Am(III),3.0,298.15,2.0946,0.8695,3.3197,3.3197,0.4506,high (D>10)
179,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,Eu(III),4.0133,295.15,1.2517,-0.8159,3.3194,3.3194,0.7606,high (D>10)
180,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),3.0,295.15,1.6548,0.0189,3.2908,3.2908,0.6018,high (D>10)
181,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,Am(III),3.0,298.15,2.0419,0.7957,3.2881,3.2881,0.4584,high (D>10)
182,CCCCCCCCNC(=O)c1cc(OC)ccn1,Am(III),3.0,298.15,1.9781,0.6827,3.2734,3.2734,0.4765,high (D>10)
183,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,Dy(III),3.0,298.15,0.3476,-2.5523,3.2475,3.2475,1.0667,medium (0.5<=D<=10)
