feature,cohens_d,picks_mean,rest_mean
MolMR,0.07530346216199543,158.37842973568283,153.50988801539307
NOCount,0.07322399563974918,5.709251101321586,5.507421660252886
fr_allylic_oxid,-0.07252975299863605,0.00881057268722467,0.028587135788894998
NumSaturatedRings,-0.07133907868761809,0.10572687224669604,0.14073666849917538
Chi1,0.07121698088641397,18.244064658061678,17.70812971826663
Chi3v,0.06967590252022056,7.6737426482489,7.441588996075866
HeavyAtomCount,0.06879056044150611,37.563876651982376,36.51072017592084
fr_ketone_Topliss,0.06869342315507204,0.013215859030837005,0.004947773501924134
HeavyAtomMolWt,0.06839586955237119,472.23093171806164,459.3066366135239
Chi3n,0.06834490462899027,7.301056896737887,7.0760821010005515
NumHeteroatoms,0.06522804387978366,5.889867841409692,5.71412864211105
fr_NH0,-0.06491214203105689,2.3722466960352424,2.4777350192413414
BCUT2D_MWHI,-0.06365367724271098,18.052729401167404,18.37770754497526
fr_thiophene,0.06312965221690911,0.004405286343612335,0.0010995052226498076
VSA_EState1,0.06277955942130958,6.9458489094779745,6.396039792385925
MinEStateIndex,0.06158755394688139,-0.29547915575991196,-0.34727169707366684
MolLogP,0.060293968804705084,7.76778872246696,7.531208862012096
VSA_EState3,-0.059824245129522564,2.1032318307687223,2.4349815894029687
fr_Ndealkylation1,0.05895546594422479,0.2907488986784141,0.2468389224848818
SMR_VSA9,-0.05800549757894262,2.6661018663480176,3.1997115228383723
fr_phenol_noOrthoHbond,-0.05748012489295106,0.0,0.006597031335898846
fr_phenol,-0.05748012489295106,0.0,0.006597031335898846
fr_Ar_COO,-0.057480124892951054,0.0,0.0016492578339747114
fr_Ar_OH,-0.057480124892951054,0.0,0.008246289169873557
NumAliphaticCarbocycles,-0.05719021006957373,0.08590308370044053,0.11654755360087961
FpDensityMorgan2,-0.05635457450064317,0.8480097109229076,0.8640326513347993
FpDensityMorgan1,-0.055223494000106496,0.5290530663171806,0.5390506599021441
EState_VSA1,-0.05412588741829055,2.022455477585903,2.354284461614074
NumHAcceptors,0.053960778606140444,3.8193832599118944,3.7075316107751513
VSA_EState2,0.05114805256389557,30.34762862517401,29.519414600965366
SMR_VSA3,0.05094851471560492,12.18066539617841,11.708397074886198
FpDensityMorgan3,-0.0494739790555928,1.1681317551013217,1.1871295442891698
MaxEStateIndex,-0.04920760029203637,12.234808920222468,12.349295299671246
MaxAbsEStateIndex,-0.04920760029203637,12.234808920222468,12.349295299671246
VSA_EState10,-0.04613265298896848,0.3666433156431718,0.47957428025948323
EState_VSA8,0.04600128912050967,31.56434119314758,30.5939871577834
SPS,-0.045710776488426516,12.321722099185022,12.476614683387576
fr_SH,0.044597513440718044,0.0022026431718061676,0.0005497526113249038
fr_furan,0.044597513440718044,0.0022026431718061676,0.0005497526113249038
Chi4v,0.04178130154052672,5.157159567986785,5.054063436277625
SlogP_VSA1,-0.040661339858774855,2.9307544048259913,3.2108711505442553
NumAliphaticRings,-0.04008077618878308,0.18722466960352424,0.21550302363936227
PEOE_VSA4,-0.03836450384602378,0.7196883061938327,0.8338898453062122
NumHDonors,0.03798534391887657,0.28193832599118945,0.2462891698735569
PEOE_VSA8,0.03691799698567477,27.520385719277538,26.954630981600882
Chi4n,0.036816968780665815,4.805877791277533,4.720485609891149
VSA_EState5,-0.03676011142417266,0.23565347358590316,0.2738039804711381
TPSA,0.03656146484492599,61.41160792951543,60.166036283672355
NHOHCount,0.03623693983814373,0.27973568281938327,0.245739417262232
PEOE_VSA5,0.03447198359350793,0.7464173351497798,0.6403847847102804
PEOE_VSA11,-0.03397912359408357,0.5403696524669603,0.6596212285387576
fr_para_hydroxylation,-0.03368135867271991,0.14537444933920704,0.16547553600879605
Ipc,-0.033182360527984726,8.800704880765901e+19,4.999428257292248e+67
BCUT2D_LOGPLOW,-0.03292890748950672,-2.3511360702202646,-2.347939998315558
BCUT2D_CHGLO,-0.03116619121690881,-2.238367722486784,-2.2364715907993404
BCUT2D_MWLOW,0.027333659192135512,10.093514560262115,10.089819030345796
VSA_EState8,0.02564405674391003,11.280042754387665,11.130045580338098
NumSaturatedHeterocycles,0.01972272252263045,0.07929515418502203,0.0725673446948873
SlogP_VSA11,-0.018644758723877053,0.4939007962378854,0.5784280733771302
fr_Ndealkylation2,-0.01501894920833962,0.05947136563876652,0.06432105552501374
fr_phos_acid,0.013971330771163994,0.015418502202643172,0.013743815283122594
fr_phos_ester,0.013971330771163994,0.015418502202643172,0.013743815283122594
fr_piperdine,0.01182443717008983,0.03524229074889868,0.032435404068169325
EState_VSA9,0.00904751639643388,6.952544171878855,6.878905816525015
fr_methoxy,-0.007394117831327526,0.03303964757709251,0.035733919736118745
fr_sulfide,-0.006520209481690817,0.013215859030837005,0.014293567894447499
NumAliphaticHeterocycles,0.005988280468056532,0.1013215859030837,0.09895547003848268
qed,-0.004005785208041263,0.2521703165066079,0.25302956000384824
fr_Ar_NH,7.75207917089081e-05,0.004405286343612335,0.0043980208905992305
fr_Nhpyrrole,7.75207917089081e-05,0.004405286343612335,0.0043980208905992305
